crop,doy,posterior_mean,posterior_iqr_25,posterior_iqr_75,ci_05,ci_95
soy,163,0.7836,0.77053,0.7956,0.75175,0.81576
soy,163,0.7864,0.77329,0.79912,0.75505,0.81659
soy,164,0.78935,0.77729,0.80229,0.75801,0.82005
soy,165,0.79245,0.77927,0.80507,0.76087,0.82285
soy,166,0.79571,0.78263,0.80882,0.76451,0.82678
soy,166,0.79911,0.78548,0.81193,0.767,0.83183
soy,167,0.80266,0.79001,0.81554,0.77063,0.83437
soy,168,0.80633,0.79246,0.81946,0.77435,0.83814
soy,169,0.81012,0.79699,0.82363,0.77873,0.8416
soy,169,0.814,0.80145,0.82718,0.78321,0.84485
soy,170,0.81797,0.80544,0.83131,0.78475,0.84903
soy,171,0.82199,0.80869,0.83575,0.79063,0.85442
soy,171,0.82605,0.81396,0.83976,0.79323,0.85804
soy,172,0.83013,0.81756,0.84348,0.79825,0.86241
soy,173,0.8342,0.82212,0.84731,0.8031,0.86664
soy,174,0.83825,0.82542,0.85136,0.80695,0.86955
soy,174,0.84224,0.82889,0.85384,0.8107,0.87474
soy,175,0.84617,0.8334,0.85892,0.81412,0.87884
soy,176,0.85001,0.83661,0.86263,0.81786,0.8814
soy,176,0.85375,0.84096,0.86766,0.82333,0.88557
soy,177,0.85737,0.84402,0.86971,0.82468,0.8883
soy,178,0.86086,0.84825,0.87434,0.82926,0.8932
soy,179,0.86422,0.8519,0.87706,0.83366,0.89721
soy,179,0.86743,0.8548,0.881,0.83615,0.90014
soy,180,0.8705,0.85709,0.88333,0.83803,0.90066
soy,181,0.87343,0.86127,0.88621,0.84292,0.90614
soy,182,0.87622,0.86436,0.89003,0.84517,0.90802
soy,182,0.87888,0.86663,0.89214,0.84808,0.91056
soy,183,0.88141,0.86842,0.89512,0.84879,0.91389
soy,184,0.88382,0.87124,0.89701,0.85343,0.915
soy,184,0.88612,0.87354,0.9002,0.85526,0.91882
soy,185,0.88833,0.87543,0.90037,0.85675,0.91866
soy,186,0.89045,0.8775,0.90306,0.85918,0.9214
soy,187,0.8925,0.87981,0.90538,0.86167,0.92507
soy,187,0.89448,0.88069,0.90725,0.86291,0.92595
soy,188,0.89641,0.88404,0.90904,0.86558,0.92796
soy,189,0.8983,0.88492,0.91058,0.8657,0.92937
soy,189,0.90015,0.88805,0.91234,0.86974,0.93124
soy,190,0.90196,0.88793,0.9149,0.8698,0.93412
soy,191,0.90375,0.89152,0.91788,0.87337,0.93646
soy,192,0.90551,0.89251,0.91823,0.87408,0.93644
soy,192,0.90724,0.89392,0.92009,0.87563,0.93863
soy,193,0.90895,0.89602,0.92281,0.87734,0.93984
soy,194,0.91062,0.89775,0.92323,0.87923,0.94181
soy,195,0.91225,0.89942,0.9263,0.88035,0.94484
soy,195,0.91384,0.90051,0.92594,0.88246,0.94409
soy,196,0.91538,0.90224,0.92887,0.88253,0.94755
soy,197,0.91686,0.90369,0.93055,0.88539,0.94758
soy,197,0.91827,0.90561,0.93137,0.88749,0.94991
soy,198,0.91961,0.90811,0.93346,0.88915,0.95106
soy,199,0.92088,0.90784,0.93393,0.89062,0.95138
soy,200,0.92205,0.90944,0.93537,0.89117,0.95429
soy,200,0.92315,0.91082,0.93581,0.89287,0.95483
soy,201,0.92415,0.91147,0.93723,0.89397,0.95601
soy,202,0.92506,0.91275,0.93925,0.89439,0.95717
soy,202,0.92588,0.91332,0.93912,0.89443,0.95846
soy,203,0.92661,0.91322,0.93943,0.89449,0.95807
soy,204,0.92726,0.9135,0.93964,0.89427,0.95869
soy,205,0.92783,0.91542,0.94099,0.89587,0.96025
soy,205,0.92834,0.91517,0.94119,0.89623,0.95961
soy,206,0.92877,0.91584,0.94175,0.89718,0.95995
soy,207,0.92916,0.91626,0.94209,0.89781,0.9607
soy,208,0.92951,0.91588,0.94197,0.8979,0.96213
soy,208,0.92982,0.91764,0.9422,0.8983,0.96182
soy,209,0.93011,0.91757,0.94329,0.89763,0.96033
soy,210,0.93039,0.91779,0.94317,0.90047,0.9627
soy,210,0.93066,0.91748,0.94356,0.90036,0.96288
soy,211,0.93094,0.91675,0.94393,0.90027,0.96227
soy,212,0.93124,0.91927,0.94486,0.90029,0.96311
